Status Rekening,Durasi dalam bulan,Riwayat Kredit,Tujuan Kredit,Jumlah Kredit (DM),Tabungan/Bonds,Pekerjaan Saat Ini,Tingkat Angsuran (%),Status Pribadi dan Jenis Kelamin,Debitur / Penjamin,Tinggal di Tempat Saat Ini,Properti,Usia (tahun),Rencana Angsuran Lain,Tempat Tinggal,Jumlah Kredit di Bank Ini,Pekerjaan,Jumlah Tanggungan,Nomor Telepon,Pekerja Migran,Kelayakan Kredit
< 0 DM,6,Masalah / kredit di luar bank,TV / Radio,1169,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,67,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,48,Kredit berjalan lancar,TV / Radio,5951,< 100 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,2,Properti,22,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,12,Masalah / kredit di luar bank,Pendidikan,2096,< 100 DM,4-7 thn,2,Pria lajang,Tidak ada,3,Properti,49,Tidak ada,Milik sendiri,1,Tidak terampil (residen),2,Tidak ada,Ya,Baik
< 0 DM,42,Kredit berjalan lancar,Furniture,7882,< 100 DM,4-7 thn,2,Pria lajang,Penjamin,4,Tabungan/Asuransi,45,Tidak ada,Gratis,1,Terampil / pegawai,2,Tidak ada,Ya,Baik
< 0 DM,24,Pernah telat bayar,Mobil baru,4870,< 100 DM,1-4 thn,3,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,53,Tidak ada,Gratis,2,Terampil / pegawai,2,Tidak ada,Ya,Buruk
Tidak ada rekening,36,Kredit berjalan lancar,Pendidikan,9055,Tidak ada / tidak tahu,1-4 thn,2,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,35,Tidak ada,Gratis,1,Tidak terampil (residen),2,Ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,Furniture,2835,500-999 DM,>= 7 thn,3,Pria lajang,Tidak ada,4,Tabungan/Asuransi,53,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,36,Kredit berjalan lancar,Mobil bekas,6948,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,35,Tidak ada,Sewa,1,Manajer / profesional,1,Ada,Ya,Baik
Tidak ada rekening,12,Kredit berjalan lancar,TV / Radio,3059,>= 1000 DM,4-7 thn,2,Pria cerai/pisah,Tidak ada,4,Properti,61,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,30,Masalah / kredit di luar bank,Mobil baru,5234,< 100 DM,Menganggur,4,Pria menikah/duda,Tidak ada,2,Mobil / lainnya,28,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Tidak ada,Ya,Buruk
0-199 DM,12,Kredit berjalan lancar,Mobil baru,1295,< 100 DM,< 1 thn,3,Wanita menikah/cerai,Tidak ada,1,Mobil / lainnya,25,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,48,Kredit berjalan lancar,Bisnis,4308,< 100 DM,< 1 thn,3,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,24,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,12,Kredit berjalan lancar,TV / Radio,1567,< 100 DM,1-4 thn,1,Wanita menikah/cerai,Tidak ada,1,Mobil / lainnya,22,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,24,Masalah / kredit di luar bank,Mobil baru,1199,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,60,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
< 0 DM,15,Kredit berjalan lancar,Mobil baru,1403,< 100 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,28,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,24,Kredit berjalan lancar,TV / Radio,1282,100-499 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,32,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Masalah / kredit di luar bank,TV / Radio,2424,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Tabungan/Asuransi,53,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,30,Tidak pernah kredit / selalu lancar,Bisnis,8072,Tidak ada / tidak tahu,< 1 thn,2,Pria lajang,Tidak ada,3,Mobil / lainnya,25,Bank,Milik sendiri,3,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,24,Kredit berjalan lancar,Mobil bekas,12579,< 100 DM,>= 7 thn,4,Wanita menikah/cerai,Tidak ada,2,Tidak ada / tidak tahu,44,Tidak ada,Gratis,1,Manajer / profesional,1,Ada,Ya,Buruk
Tidak ada rekening,24,Kredit berjalan lancar,TV / Radio,3430,500-999 DM,>= 7 thn,3,Pria lajang,Tidak ada,2,Mobil / lainnya,31,Tidak ada,Milik sendiri,1,Terampil / pegawai,2,Ada,Ya,Baik
Tidak ada rekening,9,Masalah / kredit di luar bank,Mobil baru,2134,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,48,Tidak ada,Milik sendiri,3,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,6,Kredit berjalan lancar,TV / Radio,2647,500-999 DM,1-4 thn,2,Pria lajang,Tidak ada,3,Properti,44,Tidak ada,Sewa,1,Terampil / pegawai,2,Tidak ada,Ya,Baik
< 0 DM,10,Masalah / kredit di luar bank,Mobil baru,2241,< 100 DM,< 1 thn,1,Pria lajang,Tidak ada,3,Properti,48,Tidak ada,Sewa,2,Tidak terampil (residen),2,Tidak ada,Bukan,Baik
0-199 DM,12,Masalah / kredit di luar bank,Mobil bekas,1804,100-499 DM,< 1 thn,3,Pria lajang,Tidak ada,4,Tabungan/Asuransi,44,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,10,Masalah / kredit di luar bank,Furniture,2069,Tidak ada / tidak tahu,1-4 thn,2,Pria menikah/duda,Tidak ada,1,Mobil / lainnya,26,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Bukan,Baik
< 0 DM,6,Kredit berjalan lancar,Furniture,1374,< 100 DM,1-4 thn,1,Pria lajang,Tidak ada,2,Properti,36,Bank,Milik sendiri,1,Tidak terampil (residen),1,Ada,Ya,Baik
Tidak ada rekening,6,Tidak pernah kredit / selalu lancar,TV / Radio,426,< 100 DM,>= 7 thn,4,Pria menikah/duda,Tidak ada,4,Mobil / lainnya,39,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
>= 200 DM / gaji tetap,12,Kredit di bank ini lancar,TV / Radio,409,>= 1000 DM,1-4 thn,3,Wanita menikah/cerai,Tidak ada,3,Properti,42,Tidak ada,Sewa,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,7,Kredit berjalan lancar,TV / Radio,2415,< 100 DM,1-4 thn,3,Pria lajang,Penjamin,2,Properti,34,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,60,Pernah telat bayar,Bisnis,6836,< 100 DM,>= 7 thn,3,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,63,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Buruk
0-199 DM,18,Kredit berjalan lancar,Bisnis,1913,>= 1000 DM,< 1 thn,3,Pria menikah/duda,Tidak ada,3,Properti,36,Bank,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,24,Kredit berjalan lancar,Furniture,4020,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,27,Toko,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,18,Kredit berjalan lancar,Mobil baru,5866,100-499 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,30,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,Bisnis,1264,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,57,Tidak ada,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
>= 200 DM / gaji tetap,12,Kredit berjalan lancar,Furniture,1474,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,1,Tabungan/Asuransi,33,Bank,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Baik
0-199 DM,45,Masalah / kredit di luar bank,TV / Radio,4746,< 100 DM,< 1 thn,4,Pria lajang,Tidak ada,2,Tabungan/Asuransi,25,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
Tidak ada rekening,48,Masalah / kredit di luar bank,Pendidikan,6110,< 100 DM,1-4 thn,1,Pria lajang,Tidak ada,3,Tidak ada / tidak tahu,31,Bank,Gratis,1,Terampil / pegawai,1,Ada,Ya,Baik
>= 200 DM / gaji tetap,18,Kredit berjalan lancar,TV / Radio,2100,< 100 DM,1-4 thn,4,Pria lajang,Ko-pemohon,2,Properti,37,Toko,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
>= 200 DM / gaji tetap,10,Kredit berjalan lancar,Peralatan rumah,1225,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,37,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,9,Kredit berjalan lancar,TV / Radio,458,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,3,Properti,24,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,30,Kredit berjalan lancar,TV / Radio,2333,500-999 DM,>= 7 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,30,Bank,Milik sendiri,1,Manajer / profesional,1,Tidak ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,TV / Radio,1158,500-999 DM,1-4 thn,3,Pria cerai/pisah,Tidak ada,1,Mobil / lainnya,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,18,Pernah telat bayar,Renovasi,6204,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,4,Properti,44,Tidak ada,Milik sendiri,1,Tidak terampil (residen),2,Ada,Ya,Baik
< 0 DM,30,Masalah / kredit di luar bank,Mobil bekas,6187,100-499 DM,4-7 thn,1,Pria menikah/duda,Tidak ada,4,Mobil / lainnya,24,Tidak ada,Sewa,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,48,Masalah / kredit di luar bank,Mobil bekas,6143,< 100 DM,>= 7 thn,4,Wanita menikah/cerai,Tidak ada,4,Tidak ada / tidak tahu,58,Toko,Gratis,2,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
Tidak ada rekening,11,Masalah / kredit di luar bank,Mobil baru,1393,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,35,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Tidak ada,Ya,Baik
Tidak ada rekening,36,Kredit berjalan lancar,TV / Radio,2299,500-999 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,39,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,6,Kredit berjalan lancar,Mobil bekas,1352,500-999 DM,Menganggur,1,Wanita menikah/cerai,Tidak ada,2,Tabungan/Asuransi,23,Tidak ada,Sewa,1,Pengangguran / tidak terampil (non-residen),1,Ada,Ya,Baik
Tidak ada rekening,11,Masalah / kredit di luar bank,Mobil baru,7228,< 100 DM,1-4 thn,1,Pria lajang,Tidak ada,4,Tabungan/Asuransi,39,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,12,Kredit berjalan lancar,TV / Radio,2073,100-499 DM,1-4 thn,4,Wanita menikah/cerai,Ko-pemohon,2,Properti,28,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,24,Pernah telat bayar,Furniture,2333,Tidak ada / tidak tahu,< 1 thn,4,Pria lajang,Tidak ada,2,Tabungan/Asuransi,29,Bank,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,27,Pernah telat bayar,Mobil bekas,5965,< 100 DM,>= 7 thn,1,Pria lajang,Tidak ada,2,Mobil / lainnya,30,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Ada,Ya,Baik
Tidak ada rekening,12,Kredit berjalan lancar,TV / Radio,1262,< 100 DM,1-4 thn,3,Pria lajang,Tidak ada,2,Mobil / lainnya,25,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,18,Kredit berjalan lancar,Mobil bekas,3378,Tidak ada / tidak tahu,1-4 thn,2,Pria lajang,Tidak ada,1,Tabungan/Asuransi,31,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,36,Pernah telat bayar,Mobil baru,2225,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,57,Bank,Gratis,2,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,6,Kredit di bank ini lancar,Mobil baru,783,Tidak ada / tidak tahu,1-4 thn,1,Pria lajang,Penjamin,2,Properti,26,Toko,Milik sendiri,1,Tidak terampil (residen),2,Tidak ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,TV / Radio,6468,Tidak ada / tidak tahu,Menganggur,2,Pria lajang,Tidak ada,1,Tidak ada / tidak tahu,52,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Buruk
Tidak ada rekening,36,Masalah / kredit di luar bank,TV / Radio,9566,< 100 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,31,Toko,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
>= 200 DM / gaji tetap,18,Kredit berjalan lancar,Mobil baru,1961,< 100 DM,>= 7 thn,3,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,23,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Tidak ada,Ya,Baik
< 0 DM,36,Masalah / kredit di luar bank,Furniture,6229,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Ko-pemohon,4,Tidak ada / tidak tahu,23,Tidak ada,Sewa,2,Tidak terampil (residen),1,Ada,Ya,Buruk
0-199 DM,9,Kredit berjalan lancar,Bisnis,1391,< 100 DM,1-4 thn,2,Pria menikah/duda,Tidak ada,1,Properti,27,Bank,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,15,Masalah / kredit di luar bank,TV / Radio,1537,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Penjamin,4,Properti,50,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,36,Tidak pernah kredit / selalu lancar,Bisnis,1953,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,61,Tidak ada,Gratis,1,Manajer / profesional,1,Ada,Ya,Buruk
0-199 DM,48,Tidak pernah kredit / selalu lancar,Bisnis,14421,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,25,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,24,Kredit berjalan lancar,TV / Radio,3181,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,27,Kredit berjalan lancar,Renovasi,5190,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Tabungan/Asuransi,48,Tidak ada,Milik sendiri,4,Terampil / pegawai,2,Ada,Ya,Baik
Tidak ada rekening,12,Kredit berjalan lancar,TV / Radio,2171,< 100 DM,< 1 thn,2,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,29,Bank,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,Mobil baru,1007,>= 1000 DM,1-4 thn,4,Pria menikah/duda,Tidak ada,1,Properti,22,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,36,Kredit berjalan lancar,Pendidikan,1819,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,37,Toko,Gratis,1,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,36,Kredit berjalan lancar,TV / Radio,2394,Tidak ada / tidak tahu,1-4 thn,4,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,25,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,36,Kredit berjalan lancar,Mobil bekas,8133,< 100 DM,1-4 thn,1,Wanita menikah/cerai,Tidak ada,2,Tabungan/Asuransi,30,Bank,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,7,Masalah / kredit di luar bank,TV / Radio,730,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,2,Tabungan/Asuransi,46,Tidak ada,Sewa,2,Tidak terampil (residen),1,Ada,Ya,Baik
< 0 DM,8,Masalah / kredit di luar bank,Lainnya,1164,< 100 DM,>= 7 thn,3,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,51,Bank,Gratis,2,Manajer / profesional,2,Ada,Ya,Baik
0-199 DM,42,Masalah / kredit di luar bank,Bisnis,5954,< 100 DM,4-7 thn,2,Wanita menikah/cerai,Tidak ada,1,Properti,41,Bank,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
< 0 DM,36,Kredit berjalan lancar,Pendidikan,1977,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,40,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Buruk
< 0 DM,12,Masalah / kredit di luar bank,Mobil bekas,1526,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,66,Tidak ada,Gratis,2,Manajer / profesional,1,Tidak ada,Ya,Baik
< 0 DM,42,Kredit berjalan lancar,TV / Radio,3965,< 100 DM,< 1 thn,4,Pria lajang,Tidak ada,3,Mobil / lainnya,34,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,11,Pernah telat bayar,TV / Radio,4771,< 100 DM,4-7 thn,2,Pria lajang,Tidak ada,4,Tabungan/Asuransi,51,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,54,Tidak pernah kredit / selalu lancar,Mobil bekas,9436,Tidak ada / tidak tahu,1-4 thn,2,Pria lajang,Tidak ada,2,Tabungan/Asuransi,39,Tidak ada,Milik sendiri,1,Tidak terampil (residen),2,Tidak ada,Ya,Baik
0-199 DM,30,Kredit berjalan lancar,Furniture,3832,< 100 DM,< 1 thn,2,Pria menikah/duda,Tidak ada,1,Tabungan/Asuransi,22,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,TV / Radio,5943,Tidak ada / tidak tahu,< 1 thn,1,Wanita menikah/cerai,Tidak ada,1,Mobil / lainnya,44,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,15,Kredit berjalan lancar,TV / Radio,1213,500-999 DM,>= 7 thn,4,Pria lajang,Tidak ada,3,Tabungan/Asuransi,47,Toko,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,18,Kredit berjalan lancar,Bisnis,1568,100-499 DM,1-4 thn,3,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,24,Tidak ada,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
